iter	Logloss
0	0.5092550589
1	0.4257036311
2	0.3435074831
3	0.2871748114
4	0.249498798
5	0.223782455
6	0.2013891022
7	0.1823222233
8	0.168946558
9	0.1559366612
10	0.1465521989
11	0.1348723994
12	0.1254156311
13	0.1149410246
14	0.1094755433
15	0.1044148029
16	0.09938800125
17	0.09398321047
18	0.090611427
19	0.08703666648
20	0.08389531296
21	0.08087712312
22	0.0779459226
23	0.07565081816
24	0.0719807881
25	0.07033315326
26	0.06774757181
27	0.06529487431
28	0.06305278607
29	0.06167579831
30	0.05952847397
31	0.05816218544
32	0.05748842561
33	0.05596482626
34	0.05447611421
35	0.052877646
36	0.05152714402
37	0.05049975854
38	0.04955618016
39	0.04839280804
40	0.04748084496
41	0.04650052062
42	0.0455834768
43	0.04467141595
44	0.04390110695
45	0.04336824398
46	0.04256879133
47	0.04190251108
48	0.04131981869
49	0.04071876615
50	0.04020615219
51	0.03984887698
52	0.03953327376
53	0.03898354558
54	0.03847354535
55	0.03801255902
56	0.03753241738
57	0.03714846535
58	0.03666518776
59	0.03616543743
60	0.03589280626
61	0.03560022241
62	0.03501120348
63	0.03449476027
64	0.0338531798
65	0.03338127458
66	0.03305772288
67	0.03269992055
68	0.03229805602
69	0.03188343923
70	0.03149922229
71	0.03116389046
72	0.030888526
73	0.03059749593
74	0.03037114399
75	0.03020356376
76	0.02987176807
77	0.02967947298
78	0.0294410309
79	0.02923660379
80	0.02896818094
81	0.02870698333
82	0.02855473874
83	0.02835866569
84	0.02822744859
85	0.02795666404
86	0.02778272842
87	0.02766652183
88	0.02742695734
89	0.02726132074
90	0.0271199899
91	0.02697147082
92	0.02681477588
93	0.02672910939
94	0.0265722408
95	0.02643390134
96	0.02631429275
97	0.02617292031
98	0.0260643863
99	0.02595407027
100	0.02581293675
101	0.02569384243
102	0.02553232613
103	0.02542192845
104	0.02531460278
105	0.02523869605
106	0.02520800358
107	0.02511015315
108	0.02502553567
109	0.0249188262
110	0.02482235053
111	0.02473027587
112	0.02463295814
113	0.02452220716
114	0.02443293479
115	0.02432306903
116	0.02422292122
117	0.02413003893
118	0.02406829945
119	0.02398198666
120	0.02389348142
121	0.02381531576
122	0.02375607787
123	0.02371200256
124	0.02360420088
125	0.0235540684
126	0.02347423814
127	0.02337947239
128	0.02332878985
129	0.0232569829
130	0.02318756189
131	0.02312938339
132	0.02308488365
133	0.02303741576
134	0.02296967349
135	0.0229093229
136	0.02285602367
137	0.02280904725
138	0.0227697368
139	0.02270614413
140	0.02262805463
141	0.02256820571
142	0.02252750437
143	0.02248086958
144	0.02241155032
145	0.02236135421
146	0.02231848224
147	0.02227581966
148	0.02222045788
149	0.02218444326
150	0.02214340205
151	0.02210026743
152	0.02206007653
153	0.02201794603
154	0.02197329078
155	0.02191765863
156	0.02187026167
157	0.02183172873
158	0.02177893381
159	0.0217436674
160	0.02171845659
161	0.02167505725
162	0.02163195668
163	0.02161090231
164	0.02157051877
165	0.02154299816
166	0.02150330245
167	0.0214828566
168	0.02145012784
169	0.02142413621
170	0.02138816798
171	0.02136803849
172	0.02133642134
173	0.02130323302
174	0.02127031978
175	0.02123817316
176	0.02123766026
177	0.021237639
178	0.02123750358
179	0.02121513504
180	0.02121513818
181	0.02119248691
182	0.02119238441
183	0.02119236973
184	0.0211923322
185	0.02116731303
186	0.02113931281
187	0.02111239328
188	0.02108831128
189	0.02108827367
190	0.02105668839
191	0.02102628887
192	0.02100547243
193	0.02098701939
194	0.02096584478
195	0.02094526159
196	0.02094519819
197	0.02094512749
198	0.02092565371
199	0.02092107861
200	0.02089566707
201	0.02089565796
202	0.02087071183
203	0.02087071183
204	0.02084155805
205	0.02084151506
206	0.02081161946
207	0.02079058157
208	0.0207619479
209	0.02073452738
210	0.02071439876
211	0.02071433566
212	0.02071431809
213	0.02069478033
214	0.02069477751
215	0.02067294643
216	0.02065497093
217	0.02065494213
218	0.0206549371
219	0.02063443384
220	0.02061241377
221	0.02061240486
222	0.02061238195
223	0.02061237541
224	0.02058676356
225	0.02058674698
226	0.02058670295
227	0.02056327269
228	0.02056318531
229	0.02054842851
230	0.02053395917
231	0.02053400324
232	0.02051482109
233	0.02049452886
234	0.02049444411
235	0.02047391958
236	0.02047391538
237	0.02047386256
238	0.02047385099
239	0.02047383467
240	0.020473806
241	0.02045854243
242	0.02043945754
243	0.02042552723
244	0.02042552723
245	0.02040954028
246	0.02040954052
247	0.02040950071
248	0.02040951056
249	0.02040944728
